
-------------------------------------
(0, 1)
Recomb: 2p4c/2s0c0a, Probability: 100.00%
Recomb: 3p0c/1s4c1a, Probability: 100.00%
Recomb: 3p0c/1s4c0a, Probability: 100.00%
Recomb: 3p0c/1s5c1a, Probability: 100.00%
Recomb: 3p0c/1s5c0a, Probability: 100.00%
Recomb: 3p0c/2s0c0a, Probability: 100.00%
Recomb: 3p0c/2s3c1a, Probability: 100.00%
Recomb: 3p0c/2s3c0a, Probability: 100.00%
Recomb: 3p0c/2s4c1a, Probability: 100.00%
Recomb: 3p0c/2s4c0a, Probability: 100.00%
Recomb: 3p0c/3s0c0a, Probability: 100.00%
Recomb: 3p0c/3s2c1a, Probability: 100.00%
Recomb: 3p0c/3s2c0a, Probability: 100.00%
Recomb: 3p0c/3s3c1a, Probability: 100.00%
Recomb: 3p0c/3s3c0a, Probability: 100.00%
Recomb: 3p0c/4s0c0a, Probability: 100.00%
Recomb: 3p0c/4s1c1a, Probability: 100.00%
Recomb: 3p0c/4s1c0a, Probability: 100.00%
Recomb: 3p0c/4s2c1a, Probability: 100.00%
Recomb: 3p0c/4s2c0a, Probability: 100.00%
Recomb: 3p0c/5s0c0a, Probability: 100.00%
Recomb: 3p0c/5s1c1a, Probability: 100.00%
Recomb: 3p0c/5s1c0a, Probability: 100.00%
Recomb: 3p0c/6s0c0a, Probability: 100.00%
Recomb: 3p1c/1s4c1a, Probability: 100.00%
Recomb: 3p1c/1s4c0a, Probability: 100.00%
Recomb: 3p1c/1s5c1a, Probability: 100.00%
Recomb: 3p1c/1s5c0a, Probability: 100.00%
Recomb: 3p1c/2s0c0a, Probability: 100.00%
Recomb: 3p1c/2s3c1a, Probability: 100.00%
Recomb: 3p1c/2s3c0a, Probability: 100.00%
Recomb: 3p1c/2s4c1a, Probability: 100.00%
Recomb: 3p1c/2s4c0a, Probability: 100.00%
Recomb: 3p1c/3s0c0a, Probability: 100.00%
Recomb: 3p1c/3s2c1a, Probability: 100.00%
Recomb: 3p1c/3s2c0a, Probability: 100.00%
Recomb: 3p1c/3s3c1a, Probability: 100.00%
Recomb: 3p1c/3s3c0a, Probability: 100.00%
Recomb: 3p1c/4s0c0a, Probability: 100.00%
Recomb: 3p1c/4s1c1a, Probability: 100.00%
Recomb: 3p1c/4s1c0a, Probability: 100.00%
Recomb: 3p1c/4s2c1a, Probability: 100.00%
Recomb: 3p1c/4s2c0a, Probability: 100.00%
Recomb: 3p1c/5s0c0a, Probability: 100.00%
Recomb: 3p1c/5s1c0a, Probability: 100.00%
Recomb: 3p2c/1s4c1a, Probability: 100.00%
Recomb: 3p2c/1s4c0a, Probability: 100.00%
Recomb: 3p2c/1s5c1a, Probability: 100.00%
Recomb: 3p2c/2s0c0a, Probability: 100.00%
Recomb: 3p2c/2s3c1a, Probability: 100.00%
Recomb: 3p2c/2s3c0a, Probability: 100.00%
Recomb: 3p2c/2s4c1a, Probability: 100.00%
Recomb: 3p2c/2s4c0a, Probability: 100.00%
Recomb: 3p2c/3s0c0a, Probability: 100.00%
Recomb: 3p2c/3s2c1a, Probability: 100.00%
Recomb: 3p2c/3s2c0a, Probability: 100.00%
Recomb: 3p2c/3s3c1a, Probability: 100.00%
Recomb: 3p2c/3s3c0a, Probability: 100.00%
Recomb: 3p2c/4s0c0a, Probability: 100.00%
Recomb: 3p2c/4s1c0a, Probability: 100.00%
Recomb: 3p2c/4s2c0a, Probability: 100.00%
Recomb: 3p3c/1s4c1a, Probability: 100.00%
Recomb: 3p3c/2s0c0a, Probability: 100.00%
Recomb: 3p3c/2s3c1a, Probability: 100.00%
Recomb: 3p3c/2s3c0a, Probability: 100.00%
Recomb: 3p3c/2s4c1a, Probability: 100.00%
Recomb: 3p3c/3s0c0a, Probability: 100.00%
Recomb: 3p3c/3s2c0a, Probability: 100.00%
Recomb: 3p3c/3s3c0a, Probability: 100.00%
Recomb: 4p0c/1s4c1a, Probability: 100.00%
Recomb: 4p0c/1s4c0a, Probability: 100.00%
Recomb: 4p0c/1s5c1a, Probability: 100.00%
Recomb: 4p0c/1s5c0a, Probability: 100.00%
Recomb: 4p0c/2s0c0a, Probability: 100.00%
Recomb: 4p0c/2s3c1a, Probability: 100.00%
Recomb: 4p0c/2s3c0a, Probability: 100.00%
Recomb: 4p0c/2s4c1a, Probability: 100.00%
Recomb: 4p0c/2s4c0a, Probability: 100.00%
Recomb: 4p0c/3s0c0a, Probability: 100.00%
Recomb: 4p0c/3s2c1a, Probability: 100.00%
Recomb: 4p0c/3s2c0a, Probability: 100.00%
Recomb: 4p0c/3s3c1a, Probability: 100.00%
Recomb: 4p0c/3s3c0a, Probability: 100.00%
Recomb: 4p0c/4s0c0a, Probability: 100.00%
Recomb: 4p0c/4s1c1a, Probability: 100.00%
Recomb: 4p0c/4s1c0a, Probability: 100.00%
Recomb: 4p0c/4s2c1a, Probability: 100.00%
Recomb: 4p0c/4s2c0a, Probability: 100.00%
Recomb: 4p0c/5s0c0a, Probability: 100.00%
Recomb: 4p0c/5s1c1a, Probability: 100.00%
Recomb: 4p0c/5s1c0a, Probability: 100.00%
Recomb: 4p0c/6s0c0a, Probability: 100.00%
Recomb: 4p1c/1s4c1a, Probability: 100.00%
Recomb: 4p1c/1s4c0a, Probability: 100.00%
Recomb: 4p1c/1s5c1a, Probability: 100.00%
Recomb: 4p1c/1s5c0a, Probability: 100.00%
Recomb: 4p1c/2s0c0a, Probability: 100.00%
Recomb: 4p1c/2s3c1a, Probability: 100.00%
Recomb: 4p1c/2s3c0a, Probability: 100.00%
Recomb: 4p1c/2s4c1a, Probability: 100.00%
Recomb: 4p1c/2s4c0a, Probability: 100.00%
Recomb: 4p1c/3s0c0a, Probability: 100.00%
Recomb: 4p1c/3s2c1a, Probability: 100.00%
Recomb: 4p1c/3s2c0a, Probability: 100.00%
Recomb: 4p1c/3s3c1a, Probability: 100.00%
Recomb: 4p1c/3s3c0a, Probability: 100.00%
Recomb: 4p1c/4s0c0a, Probability: 100.00%
Recomb: 4p1c/4s1c1a, Probability: 100.00%
Recomb: 4p1c/4s1c0a, Probability: 100.00%
Recomb: 4p1c/4s2c1a, Probability: 100.00%
Recomb: 4p1c/4s2c0a, Probability: 100.00%
Recomb: 4p1c/5s0c0a, Probability: 100.00%
Recomb: 4p1c/5s1c0a, Probability: 100.00%
Recomb: 4p2c/1s4c1a, Probability: 100.00%
Recomb: 4p2c/1s4c0a, Probability: 100.00%
Recomb: 4p2c/1s5c1a, Probability: 100.00%
Recomb: 4p2c/2s0c0a, Probability: 100.00%
Recomb: 4p2c/2s3c1a, Probability: 100.00%
Recomb: 4p2c/2s3c0a, Probability: 100.00%
Recomb: 4p2c/2s4c1a, Probability: 100.00%
Recomb: 4p2c/2s4c0a, Probability: 100.00%
Recomb: 4p2c/3s0c0a, Probability: 100.00%
Recomb: 4p2c/3s2c1a, Probability: 100.00%
Recomb: 4p2c/3s2c0a, Probability: 100.00%
Recomb: 4p2c/3s3c1a, Probability: 100.00%
Recomb: 4p2c/3s3c0a, Probability: 100.00%
Recomb: 4p2c/4s0c0a, Probability: 100.00%
Recomb: 4p2c/4s1c0a, Probability: 100.00%
Recomb: 4p2c/4s2c0a, Probability: 100.00%
Recomb: 5p0c/1s4c1a, Probability: 100.00%
Recomb: 5p0c/1s4c0a, Probability: 100.00%
Recomb: 5p0c/1s5c1a, Probability: 100.00%
Recomb: 5p0c/1s5c0a, Probability: 100.00%
Recomb: 5p0c/2s0c0a, Probability: 100.00%
Recomb: 5p0c/2s3c1a, Probability: 100.00%
Recomb: 5p0c/2s3c0a, Probability: 100.00%
Recomb: 5p0c/2s4c1a, Probability: 100.00%
Recomb: 5p0c/2s4c0a, Probability: 100.00%
Recomb: 5p0c/3s0c0a, Probability: 100.00%
Recomb: 5p0c/3s2c1a, Probability: 100.00%
Recomb: 5p0c/3s2c0a, Probability: 100.00%
Recomb: 5p0c/3s3c1a, Probability: 100.00%
Recomb: 5p0c/3s3c0a, Probability: 100.00%
Recomb: 5p0c/4s0c0a, Probability: 100.00%
Recomb: 5p0c/4s1c1a, Probability: 100.00%
Recomb: 5p0c/4s1c0a, Probability: 100.00%
Recomb: 5p0c/4s2c1a, Probability: 100.00%
Recomb: 5p0c/4s2c0a, Probability: 100.00%
Recomb: 5p0c/5s0c0a, Probability: 100.00%
Recomb: 5p0c/5s1c1a, Probability: 100.00%
Recomb: 5p0c/5s1c0a, Probability: 100.00%
Recomb: 5p0c/6s0c0a, Probability: 100.00%
Recomb: 5p1c/1s4c1a, Probability: 100.00%
Recomb: 5p1c/1s4c0a, Probability: 100.00%
Recomb: 5p1c/1s5c1a, Probability: 100.00%
Recomb: 5p1c/1s5c0a, Probability: 100.00%
Recomb: 5p1c/2s0c0a, Probability: 100.00%
Recomb: 5p1c/2s3c1a, Probability: 100.00%
Recomb: 5p1c/2s3c0a, Probability: 100.00%
Recomb: 5p1c/2s4c1a, Probability: 100.00%
Recomb: 5p1c/2s4c0a, Probability: 100.00%
Recomb: 5p1c/3s0c0a, Probability: 100.00%
Recomb: 5p1c/3s2c1a, Probability: 100.00%
Recomb: 5p1c/3s2c0a, Probability: 100.00%
Recomb: 5p1c/3s3c1a, Probability: 100.00%
Recomb: 5p1c/3s3c0a, Probability: 100.00%
Recomb: 5p1c/4s0c0a, Probability: 100.00%
Recomb: 5p1c/4s1c1a, Probability: 100.00%
Recomb: 5p1c/4s1c0a, Probability: 100.00%
Recomb: 5p1c/4s2c1a, Probability: 100.00%
Recomb: 5p1c/4s2c0a, Probability: 100.00%
Recomb: 5p1c/5s0c0a, Probability: 100.00%
Recomb: 5p1c/5s1c0a, Probability: 100.00%
Recomb: 6p0c/1s4c1a, Probability: 100.00%
Recomb: 6p0c/1s4c0a, Probability: 100.00%
Recomb: 6p0c/1s5c1a, Probability: 100.00%
Recomb: 6p0c/1s5c0a, Probability: 100.00%
Recomb: 6p0c/2s0c0a, Probability: 100.00%
Recomb: 6p0c/2s3c1a, Probability: 100.00%
Recomb: 6p0c/2s3c0a, Probability: 100.00%
Recomb: 6p0c/2s4c1a, Probability: 100.00%
Recomb: 6p0c/2s4c0a, Probability: 100.00%
Recomb: 6p0c/3s0c0a, Probability: 100.00%
Recomb: 6p0c/3s2c1a, Probability: 100.00%
Recomb: 6p0c/3s2c0a, Probability: 100.00%
Recomb: 6p0c/3s3c1a, Probability: 100.00%
Recomb: 6p0c/3s3c0a, Probability: 100.00%
Recomb: 6p0c/4s0c0a, Probability: 100.00%
Recomb: 6p0c/4s1c1a, Probability: 100.00%
Recomb: 6p0c/4s1c0a, Probability: 100.00%
Recomb: 6p0c/4s2c1a, Probability: 100.00%
Recomb: 6p0c/4s2c0a, Probability: 100.00%
Recomb: 6p0c/5s0c0a, Probability: 100.00%
Recomb: 6p0c/5s1c1a, Probability: 100.00%
Recomb: 6p0c/5s1c0a, Probability: 100.00%
Recomb: 6p0c/6s0c0a, Probability: 100.00%
Recomb: 0p0c/1s3c1a, Probability: 95.00%
Recomb: 0p0c/1s3c0a, Probability: 95.00%
Recomb: 0p0c/2s2c1a, Probability: 95.00%
Recomb: 0p0c/2s2c0a, Probability: 95.00%
Recomb: 0p0c/3s1c1a, Probability: 95.00%
Recomb: 0p0c/3s1c0a, Probability: 95.00%
Recomb: 0p2c/1s3c1a, Probability: 95.00%
Recomb: 0p2c/1s3c0a, Probability: 95.00%
Recomb: 0p2c/2s2c1a, Probability: 95.00%
Recomb: 0p2c/2s2c0a, Probability: 95.00%
Recomb: 0p2c/3s1c1a, Probability: 95.00%
Recomb: 0p2c/3s1c0a, Probability: 95.00%
Recomb: 0p3c/1s3c1a, Probability: 95.00%
Recomb: 0p3c/1s3c0a, Probability: 95.00%
Recomb: 0p3c/2s2c1a, Probability: 95.00%
Recomb: 0p3c/2s2c0a, Probability: 95.00%
Recomb: 0p3c/3s1c0a, Probability: 95.00%
Recomb: 0p4c/1s3c1a, Probability: 95.00%
Recomb: 0p4c/2s2c0a, Probability: 95.00%
Recomb: 1p0c/1s3c1a, Probability: 95.00%
Recomb: 1p0c/1s3c0a, Probability: 95.00%
Recomb: 1p0c/2s2c1a, Probability: 95.00%
Recomb: 1p0c/2s2c0a, Probability: 95.00%
Recomb: 1p0c/3s1c1a, Probability: 95.00%
Recomb: 1p0c/3s1c0a, Probability: 95.00%
Recomb: 1p1c/1s3c1a, Probability: 95.00%
Recomb: 1p1c/1s3c0a, Probability: 95.00%
Recomb: 1p1c/2s2c1a, Probability: 95.00%
Recomb: 1p1c/2s2c0a, Probability: 95.00%
Recomb: 1p1c/3s1c1a, Probability: 95.00%
Recomb: 1p1c/3s1c0a, Probability: 95.00%
Recomb: 1p2c/1s3c1a, Probability: 95.00%
Recomb: 1p2c/1s3c0a, Probability: 95.00%
Recomb: 1p2c/2s2c1a, Probability: 95.00%
Recomb: 1p2c/2s2c0a, Probability: 95.00%
Recomb: 1p2c/3s1c1a, Probability: 95.00%
Recomb: 1p2c/3s1c0a, Probability: 95.00%
Recomb: 1p3c/1s3c1a, Probability: 95.00%
Recomb: 1p3c/1s3c0a, Probability: 95.00%
Recomb: 1p3c/2s2c1a, Probability: 95.00%
Recomb: 1p3c/2s2c0a, Probability: 95.00%
Recomb: 1p3c/3s1c0a, Probability: 95.00%
Recomb: 1p4c/1s3c1a, Probability: 95.00%
Recomb: 1p4c/2s2c0a, Probability: 95.00%
Recomb: 2p0c/1s3c1a, Probability: 95.00%
Recomb: 2p0c/1s3c0a, Probability: 95.00%
Recomb: 2p0c/2s2c1a, Probability: 95.00%
Recomb: 2p0c/2s2c0a, Probability: 95.00%
Recomb: 2p0c/3s1c1a, Probability: 95.00%
Recomb: 2p0c/3s1c0a, Probability: 95.00%
Recomb: 2p1c/1s3c1a, Probability: 95.00%
Recomb: 2p1c/1s3c0a, Probability: 95.00%
Recomb: 2p1c/2s2c1a, Probability: 95.00%
Recomb: 2p1c/2s2c0a, Probability: 95.00%
Recomb: 2p1c/3s1c1a, Probability: 95.00%
Recomb: 2p1c/3s1c0a, Probability: 95.00%
Recomb: 2p2c/1s3c1a, Probability: 95.00%
Recomb: 2p2c/1s3c0a, Probability: 95.00%
Recomb: 2p2c/2s2c1a, Probability: 95.00%
Recomb: 2p2c/2s2c0a, Probability: 95.00%
Recomb: 2p2c/3s1c1a, Probability: 95.00%
Recomb: 2p2c/3s1c0a, Probability: 95.00%
Recomb: 2p3c/1s3c1a, Probability: 95.00%
Recomb: 2p3c/1s3c0a, Probability: 95.00%
Recomb: 2p3c/2s2c1a, Probability: 95.00%
Recomb: 2p3c/2s2c0a, Probability: 95.00%
Recomb: 2p3c/3s1c0a, Probability: 95.00%
Recomb: 2p4c/1s3c1a, Probability: 95.00%
Recomb: 2p4c/2s2c0a, Probability: 95.00%
Recomb: 3p0c/1s3c1a, Probability: 95.00%
Recomb: 3p0c/1s3c0a, Probability: 95.00%
Recomb: 3p0c/2s2c1a, Probability: 95.00%
Recomb: 3p0c/2s2c0a, Probability: 95.00%
Recomb: 3p0c/3s1c1a, Probability: 95.00%
Recomb: 3p0c/3s1c0a, Probability: 95.00%
Recomb: 3p1c/1s3c1a, Probability: 95.00%
Recomb: 3p1c/1s3c0a, Probability: 95.00%
Recomb: 3p1c/2s2c1a, Probability: 95.00%
Recomb: 3p1c/2s2c0a, Probability: 95.00%
Recomb: 3p1c/3s1c1a, Probability: 95.00%
Recomb: 3p1c/3s1c0a, Probability: 95.00%
Recomb: 3p2c/1s3c1a, Probability: 95.00%
Recomb: 3p2c/1s3c0a, Probability: 95.00%
Recomb: 3p2c/2s2c1a, Probability: 95.00%
Recomb: 3p2c/2s2c0a, Probability: 95.00%
Recomb: 3p2c/3s1c1a, Probability: 95.00%
Recomb: 3p2c/3s1c0a, Probability: 95.00%
Recomb: 3p3c/1s3c1a, Probability: 95.00%
Recomb: 3p3c/1s3c0a, Probability: 95.00%
Recomb: 3p3c/2s2c1a, Probability: 95.00%
Recomb: 3p3c/2s2c0a, Probability: 95.00%
Recomb: 3p3c/3s1c0a, Probability: 95.00%
Recomb: 4p0c/1s3c1a, Probability: 95.00%
Recomb: 4p0c/1s3c0a, Probability: 95.00%
Recomb: 4p0c/2s2c1a, Probability: 95.00%
Recomb: 4p0c/2s2c0a, Probability: 95.00%
Recomb: 4p0c/3s1c1a, Probability: 95.00%
Recomb: 4p0c/3s1c0a, Probability: 95.00%
Recomb: 4p1c/1s3c1a, Probability: 95.00%
Recomb: 4p1c/1s3c0a, Probability: 95.00%
Recomb: 4p1c/2s2c1a, Probability: 95.00%
Recomb: 4p1c/2s2c0a, Probability: 95.00%
Recomb: 4p1c/3s1c1a, Probability: 95.00%
Recomb: 4p1c/3s1c0a, Probability: 95.00%
Recomb: 4p2c/1s3c1a, Probability: 95.00%
Recomb: 4p2c/1s3c0a, Probability: 95.00%
Recomb: 4p2c/2s2c1a, Probability: 95.00%
Recomb: 4p2c/2s2c0a, Probability: 95.00%
Recomb: 4p2c/3s1c1a, Probability: 95.00%
Recomb: 4p2c/3s1c0a, Probability: 95.00%
Recomb: 5p0c/1s3c1a, Probability: 95.00%
Recomb: 5p0c/1s3c0a, Probability: 95.00%
Recomb: 5p0c/2s2c1a, Probability: 95.00%
Recomb: 5p0c/2s2c0a, Probability: 95.00%
Recomb: 5p0c/3s1c1a, Probability: 95.00%
Recomb: 5p0c/3s1c0a, Probability: 95.00%
Recomb: 5p1c/1s3c1a, Probability: 95.00%
